iter	Passed	Remaining
709	2578	145
710	2580	141
711	2582	137
712	2584	134
713	2587	130
714	2589	126
715	2592	123
716	2595	119
717	2598	115
718	2601	112
719	2604	108
720	2607	104
721	2610	101
722	2613	97
723	2618	94
724	2621	90
725	2626	86
726	2630	83
727	2634	79
728	2639	76
729	2643	72
730	2647	68
731	2652	65
732	2656	61
733	2661	58
734	2665	54
735	2669	50
736	2673	47
737	2678	43
738	2683	39
739	2687	36
740	2691	32
741	2695	29
742	2700	25
743	2704	21
744	2709	18
745	2713	14
746	2717	10
747	2720	7
748	2724	3
749	2729	0
